No,shipment_order_no,origin_subdistrict_name,origin_postal_code,destination_subdistrict_name,destination_postal_code,min_duration,max_duration,rate_code,,,
1102,TRD2022082300922,Kali Rungkut,60119,Medan Sinembah,20362,6,8,SIUNT,,,
1103,TRD2022082301112,Kali Rungkut,60119,Medan Sinembah,20362,6,8,SIUNT,,,
1104,TRD2022082300979,Kali Rungkut,60119,Mekar Bhuwana,80352,6,9,SIUNT,,,
1105,TRD2022082301048,Kali Rungkut,60119,Mekar Bhuwana,80352,6,9,SIUNT,,,
1106,TRD2022082300932,Kali Rungkut,60119,Mekar Jaya,28381,6,8,SIUNT,,,
1107,TRD2022082300884,Kali Rungkut,60119,Mekar Jaya,28381,6,8,SIUNT,,,
1108,TRD2022082300988,Kali Rungkut,60119,Mekarsari,16452,1,2,SIUNT,,,
1109,TRD2022082301130,Kali Rungkut,60119,Meunasah Beurembang,24186,10,12,SIUNT,,,
1110,TRD2022082301111,Kali Rungkut,60119,Muara Ore,72163,9,12,SIUNT,,,
1111,TRD2022082301030,Kali Rungkut,60119,Muara Sanding,44119,3,5,SIUNT,,,
1112,TRD2022082301080,Kali Rungkut,60119,Nagur Pane,20992,7,10,SIUNT,,,
1113,TRD2022082300905,Kali Rungkut,60119,Namu Gajah,20136,2,4,SIUNT,,,
1114,TRD2022082301154,Kali Rungkut,60119,Namu Gajah,20136,2,4,SIUNT,,,
1115,TRD2022082300981,Kali Rungkut,60119,Nanggerang,16320,1,2,SIUNT,,,
1116,TRD2022082301179,Kali Rungkut,60119,Narasaosina,86261,12,23,SIUNT,,,
1117,TRD2022082301004,Kali Rungkut,60119,Neglawangi,40386,2,3,SIUNT,,,
1118,TRD2022082300951,Kali Rungkut,60119,Ngalas,57425,4,6,SIUNT,,,
1119,TRD2022082300926,Kali Rungkut,60119,Nitikan,63361,4,6,SIUNT,,,
1120,TRD2022082300899,Kali Rungkut,60119,Nogosaren,67292,4,6,SIUNT,,,
1121,TRD2022082300937,Kali Rungkut,60119,Oikhoda Balaekha,22874,13,16,SIUNT,,,
1122,TRD2022082300888,Kali Rungkut,60119,Padang Maninjau,21455,7,10,SIUNT,,,
1123,TRD2022082301037,Kali Rungkut,60119,Padang Maninjau,21455,7,10,SIUNT,,,
1124,TRD2022082300908,Kali Rungkut,60119,Pakisan,81172,6,9,SIUNT,,,
1125,TRD2022082300960,Kali Rungkut,60119,Pampang,90231,2,3,SIUNT,,,
1126,TRD2022082300985,Kali Rungkut,60119,Panaragan Jaya,34693,7,9,SIUNT,,,
1127,TRD2022082301182,Kali Rungkut,60119,Pandan Sari,24784,8,10,SIUNT,,,
1128,TRD2022082300897,Kali Rungkut,60119,Pangkajene,91611,5,7,SIUNT,,,
1129,TRD2022082301142,Kali Rungkut,60119,Panjer,80113,2,3,SIUNT,,,
1130,TRD2022082301163,Kali Rungkut,60119,Panjer,80113,2,3,SIUNT,,,
1131,TRD2022082300903,Kali Rungkut,60119,Panjer,80113,2,3,SIUNT,,,
1132,TRD2022082301177,Kali Rungkut,60119,Panjer,80113,2,3,SIUNT,,,
1133,TRD2022082300990,Kali Rungkut,60119,Panjer,80113,2,3,SIUNT,,,
1134,TRD2022082301123,Kali Rungkut,60119,Paron,64461,4,6,SIUNT,,,
1135,TRD2022082301000,Kali Rungkut,60119,Pasar Baru,29561,7,10,SIUNT,,,
1136,TRD2022082301060,Kali Rungkut,60119,Pasar Muaradua,32211,4,5,SIUNT,,,
1137,TRD2022082300878,Kali Rungkut,60119,Patalan,58219,3,4,SIUNT,,,
1138,TRD2022082301189,Kali Rungkut,60119,Patalan,58219,3,4,SIUNT,,,
1139,TRD2022082300889,Kali Rungkut,60119,Patra Manggala,15530,1,2,SIUNT,,,
1140,TRD2022082301050,Kali Rungkut,60119,Paubokol (Paobokol),86682,12,23,SIUNT,,,
1141,TRD2022082301150,Kali Rungkut,60119,Pematang Pauh,36552,6,8,SIUNT,,,
1142,TRD2022082301204,Kali Rungkut,60119,Pematang Pudu,28784,7,10,SIUNT,,,
1143,TRD2022082300880,Kali Rungkut,60119,Pemecutan,80232,2,3,SIUNT,,,
1144,TRD2022082300911,Kali Rungkut,60119,Pemecutan,80232,2,3,SIUNT,,,
1145,TRD2022082300928,Kali Rungkut,60119,Penfui,85148,4,6,SIUNT,,,
1146,TRD2022082301094,Kali Rungkut,60119,Pengadegan,12770,1,2,SIUNT,,,
1147,TRD2022082301018,Kali Rungkut,60119,Pengarasan,52192,4,6,SIUNT,,,
1148,TRD2022082301152,Kali Rungkut,60119,Penggantungan,38221,3,4,SIUNT,,,
1149,TRD2022082301167,Kali Rungkut,60119,Penkase Oeleta,85231,4,6,SIUNT,,,
1150,TRD2022082301107,Kali Rungkut,60119,Perlabian (Kampung Perlabian),21463,7,10,SIUNT,,,
1151,TRD2022082301041,Kali Rungkut,60119,Perlabian (Kampung Perlabian),21463,7,10,SIUNT,,,
1152,TRD2022082301180,Kali Rungkut,60119,Pinang Sebatang Barat,28772,7,10,SIUNT,,,
1153,TRD2022082301017,Kali Rungkut,60119,Podomoro,35373,5,7,SIUNT,,,
1154,TRD2022082300953,Kali Rungkut,60119,Poris Gaga,15122,1,2,SIUNT,,,
1155,TRD2022082301035,Kali Rungkut,60119,Prawirodirjan,55153,1,2,SIUNT,,,
1156,TRD2022082301122,Kali Rungkut,60119,Puhu,80572,6,9,SIUNT,,,
1157,TRD2022082300941,Kali Rungkut,60119,Pulau Harapan,92616,5,7,SIUNT,,,
1158,TRD2022082301155,Kali Rungkut,60119,Pulau Pedalaman,78917,7,10,SIUNT,,,
1159,TRD2022082301003,Kali Rungkut,60119,Pulo Blang,24454,6,8,SIUNT,,,
1160,TRD2022082300891,Kali Rungkut,60119,Pulubala,96127,2,4,SIUNT,,,
1161,TRD2022082300904,Kali Rungkut,60119,Putussibau Kota,78716,7,10,SIUNT,,,
1162,TRD2022082301039,Kali Rungkut,60119,Raja,91991,7,9,SIUNT,,,
1163,TRD2022082301132,Kali Rungkut,60119,Rapak Lambur,75511,6,8,SIUNT,,,
1164,TRD2022082300997,Kali Rungkut,60119,Rasau Jaya I (Satu),78381,9,12,SIUNT,,,
1165,TRD2022082300938,Kali Rungkut,60119,Rungkut Tengah,60293,1,2,SIUNT,,,
1166,TRD2022082301088,Kali Rungkut,60119,Salawangi,45464,4,6,SIUNT,,,
1167,TRD2022082301198,Kali Rungkut,60119,Sandai,78871,9,12,SIUNT,,,
1168,TRD2022082300883,Kali Rungkut,60119,Sangaji Utara,97751,3,5,SIUNT,,,
1169,TRD2022082301187,Kali Rungkut,60119,Sangiang,40394,2,3,SIUNT,,,
1170,TRD2022082301149,Kali Rungkut,60119,Sangiang Tanjung,42312,4,6,SIUNT,,,
1171,TRD2022082300877,Kali Rungkut,60119,Sari Mekar,81119,6,9,SIUNT,,,
1172,TRD2022082301073,Kali Rungkut,60119,Sari Mekar,81119,6,9,SIUNT,,,
1173,TRD2022082300907,Kali Rungkut,60119,Sario Kotabaru,95115,2,4,SIUNT,,,
1174,TRD2022082301051,Kali Rungkut,60119,Satriamekar,17510,2,3,SIUNT,,,
1175,TRD2022082301153,Kali Rungkut,60119,Satui Barat,72275,7,10,SIUNT,,,
1176,TRD2022082301144,Kali Rungkut,60119,Sei/Sungai Bakar,70815,7,10,SIUNT,,,
1177,TRD2022082301133,Kali Rungkut,60119,Seliki,75382,6,8,SIUNT,,,
1178,TRD2022082300918,Kali Rungkut,60119,Sentul,16810,1,2,SIUNT,,,
1179,TRD2022082301131,Kali Rungkut,60119,Setiamekar,17111,1,2,SIUNT,,,
1180,TRD2022082301207,Kali Rungkut,60119,Setiap,71352,7,10,SIUNT,,,
1181,TRD2022082301168,Kali Rungkut,60119,Sibuea,22381,9,12,SIUNT,,,
1182,TRD2022082301211,Kali Rungkut,60119,Sidanegara,53391,4,6,SIUNT,,,
1183,TRD2022082301047,Kali Rungkut,60119,Simalanggang,26251,7,10,SIUNT,,,
1184,TRD2022082301126,Kali Rungkut,60119,Skow Mabo (Skouw Mabo ),99351,4,5,SIUNT,,,
1185,TRD2022082300939,Kali Rungkut,60119,Skow Mabo (Skouw Mabo ),99351,4,5,SIUNT,,,
1186,TRD2022082301086,Kali Rungkut,60119,Skow Mabo (Skouw Mabo ),99351,4,5,SIUNT,,,
1187,TRD2022082301001,Kali Rungkut,60119,Skow Mabo (Skouw Mabo ),99351,4,5,SIUNT,,,
1188,TRD2022082301090,Kali Rungkut,60119,Skow Mabo (Skouw Mabo ),99351,4,5,SIUNT,,,
1189,TRD2022082301114,Kali Rungkut,60119,Skow Mabo (Skouw Mabo ),99351,4,5,SIUNT,,,
1190,TRD2022082301199,Kali Rungkut,60119,Skow Mabo (Skouw Mabo ),99351,4,5,SIUNT,,,
1191,TRD2022082301026,Kali Rungkut,60119,Sokogelap,54262,4,6,SIUNT,,,
1192,TRD2022082301062,Kali Rungkut,60119,Sudajayahilir,43161,2,3,SIUNT,,,
1193,TRD2022082301040,Kali Rungkut,60119,Sukaharja,78813,7,10,SIUNT,,,
1194,TRD2022082301074,Kali Rungkut,60119,Sukajadi,21264,7,10,SIUNT,,,
1195,TRD2022082301082,Kali Rungkut,60119,Suka Jadi Makmur,24415,9,10,SIUNT,,,
1196,TRD2022082301201,Kali Rungkut,60119,Sukajaya,43267,5,7,SIUNT,,,
1197,TRD2022082301151,Kali Rungkut,60119,Sukamanah,16830,1,2,SIUNT,,,
1198,TRD2022082300902,Kali Rungkut,60119,Sukasari,15118,1,2,SIUNT,,,
1199,TRD2022082300893,Kali Rungkut,60119,Sukasari,16350,1,2,SIUNT,,,
1200,TRD2022082301208,Kali Rungkut,60119,Sukasari,17530,2,3,SIUNT,,,
1201,TRD2022082300992,Kali Rungkut,60119,Sukodadi,30154,3,4,SIUNT,,,
1202,TRD2022082301032,Kali Rungkut,60119,Sukodadi,30154,3,4,SIUNT,,,
1203,TRD2022082301042,Kali Rungkut,60119,Sumari,61162,4,6,SIUNT,,,
1204,TRD2022082301098,Kali Rungkut,60119,Sumber Sari,75571,6,8,SIUNT,,,
1205,TRD2022082300955,Kali Rungkut,60119,Sumber Sari,75571,6,8,SIUNT,,,
1206,TRD2022082300968,Kali Rungkut,60119,Sungai Beliung,74113,9,11,SIUNT,,,
1207,TRD2022082300896,Kali Rungkut,60119,Sungai Bengkuang,74183,9,11,SIUNT,,,
1208,TRD2022082301136,Kali Rungkut,60119,Sungai Nangka,76114,2,3,SIUNT,,,
1209,TRD2022082300983,Kali Rungkut,60119,Sungai Nangka,76114,2,3,SIUNT,,,
1210,TRD2022082300965,Kali Rungkut,60119,Sungai Nangka,76114,2,3,SIUNT,,,
1211,TRD2022082300943,Kali Rungkut,60119,Sungai Sibam,28292,2,4,SIUNT,,,
1212,TRD2022082301025,Kali Rungkut,60119,Suwayuwo,67161,3,4,SIUNT,,,
1213,TRD2022082300995,Kali Rungkut,60119,Talang Banjar,36123,2,4,SIUNT,,,
1214,TRD2022082301101,Kali Rungkut,60119,Talang Mulia/Mulya,29355,9,12,SIUNT,,,
1215,TRD2022082300967,Kali Rungkut,60119,Tallulolo,91835,3,5,SIUNT,,,
1216,TRD2022082301124,Kali Rungkut,60119,Tamberu Barat,69262,4,6,SIUNT,,,
1217,TRD2022082300931,Kali Rungkut,60119,Tanah Merah,28284,2,4,SIUNT,,,
1218,TRD2022082301028,Kali Rungkut,60119,Tanjung Ayun Sakti,29124,4,5,SIUNT,,,
1219,TRD2022082301161,Kali Rungkut,60119,Tanjung Selor Ilir/Hilir,77212,9,10,SIUNT,,,
1220,TRD2022082300980,Kali Rungkut,60119,Tanjung Unggat,29122,4,5,SIUNT,,,
1221,TRD2022082300994,Kali Rungkut,60119,Tatelu Satu,95373,7,10,SIUNT,,,
1222,TRD2022082300952,Kali Rungkut,60119,Teluk Kenari,85819,9,12,SIUNT,,,
1223,TRD2022082300976,Kali Rungkut,60119,Telukwetan,59462,4,6,SIUNT,,,
1224,TRD2022082300946,Kali Rungkut,60119,Tengkerang Timur,28131,2,4,SIUNT,,,
1225,TRD2022082300912,Kali Rungkut,60119,Tingkulu,95117,2,4,SIUNT,,,
1226,TRD2022082301066,Kali Rungkut,60119,Tobatang,90971,3,5,SIUNT,,,
1227,TRD2022082301096,Kali Rungkut,60119,Tounkuramber,95616,7,10,SIUNT,,,
1228,TRD2022082301174,Kali Rungkut,60119,Tumbang Rungan,73111,2,3,SIUNT,,,
1229,TRD2022082301138,Kali Rungkut,60119,Tumbang Tariak,74511,7,9,SIUNT,,,
1230,TRD2022082301135,Kali Rungkut,60119,Turpuk Malau,22391,9,12,SIUNT,,,
1231,TRD2022082301195,Kali Rungkut,60119,Uwuran Satu,95954,7,10,SIUNT,,,
1232,TRD2022082301057,Kali Rungkut,60119,Waduk,63383,4,6,SIUNT,,,
1233,TRD2022082300987,Kali Rungkut,60119,Wanajaya,17520,2,3,SIUNT,,,
1234,TRD2022082300961,Kali Rungkut,60119,Warung Muncang,40222,2,3,SIUNT,,,
1235,TRD2022082301193,Kali Rungkut,60119,Way Dadi,35131,2,3,SIUNT,,,
1236,TRD2022082300998,Kali Rungkut,60119,West Cengkareng,11730,1,2,SIUNT,,,
1237,TRD2022082301079,Kali Rungkut,60119,West Cengkareng,11730,1,2,SIUNT,,,
1238,TRD2022082301415,Bunderan,61153,Abeli,93234,3,4,SIUNT,,,
1239,TRD2022082301463,Bunderan,61153,Abian Tubuh Baru,83237,3,5,SIUNT,,,
1240,TRD2022082301325,Bunderan,61153,Air Belo,33351,5,7,SIUNT,,,
1241,TRD2022082301433,Bunderan,61153,Air Lintang,31311,4,5,SIUNT,,,
1242,TRD2022082301461,Bunderan,61153,Ambarketawang,55294,1,2,SIUNT,,,
1243,TRD2022082301255,Bunderan,61153,Ampenan Selatan,83114,3,5,SIUNT,,,
1244,TRD2022082301283,Bunderan,61153,Ampenan Selatan,83114,3,5,SIUNT,,,
1245,TRD2022082301490,Bunderan,61153,Antang,90234,2,3,SIUNT,,,
1246,TRD2022082301486,Bunderan,61153,Ardirejo,68321,4,6,SIUNT,,,
1247,TRD2022082301418,Bunderan,61153,Arjasari,40379,2,3,SIUNT,,,
1248,TRD2022082301303,Bunderan,61153,Arjowinangun,65132,1,2,SIUNT,,,
1249,TRD2022082301248,Bunderan,61153,Arjowinangun,65132,1,2,SIUNT,,,
1250,TRD2022082301380,Bunderan,61153,Arjowinangun,63516,3,4,SIUNT,,,
1251,TRD2022082301368,Bunderan,61153,Arus Deras,78383,9,12,SIUNT,,,
1252,TRD2022082301294,Bunderan,61153,Aspol (Cipedes),40162,2,3,SIUNT,,,
1253,TRD2022082301477,Bunderan,61153,Atep,95694,7,10,SIUNT,,,
1254,TRD2022082301280,Bunderan,61153,Babakan Asih,40232,2,3,SIUNT,,,
1255,TRD2022082301329,Bunderan,61153,Babura Sunggal,20121,2,4,SIUNT,,,
1256,TRD2022082301480,Bunderan,61153,Bahomakmur,94974,9,11,SIUNT,,,
1257,TRD2022082301376,Bunderan,61153,Bahomakmur,94974,9,11,SIUNT,,,
1258,TRD2022082301246,Bunderan,61153,Bajak (Kampung Teleng),38118,3,4,SIUNT,,,
1259,TRD2022082301262,Bunderan,61153,Bajarum,74353,11,13,SIUNT,,,
1260,TRD2022082301428,Bunderan,61153,Balam Sempurna Kota,28992,7,10,SIUNT,,,
1261,TRD2022082301274,Bunderan,61153,Balane,94362,9,11,SIUNT,,,
1262,TRD2022082301336,Bunderan,61153,Baleharjo,57663,4,6,SIUNT,,,
1263,TRD2022082301451,Bunderan,61153,Baloi Permai,29431,3,4,SIUNT,,,
1264,TRD2022082301314,Bunderan,61153,Baloi Permai,29431,3,4,SIUNT,,,
1265,TRD2022082301266,Bunderan,61153,Baloi Permai,29431,3,4,SIUNT,,,
1266,TRD2022082301305,Bunderan,61153,Baloi Permai,29431,3,4,SIUNT,,,
1267,TRD2022082301256,Bunderan,61153,Baloi Permai,29431,3,4,SIUNT,,,
1268,TRD2022082301430,Bunderan,61153,Balongdowo,61271,2,3,SIUNT,,,
1269,TRD2022082301406,Bunderan,61153,Balongsari,60186,1,2,SIUNT,,,
1270,TRD2022082301438,Bunderan,61153,Bambu Apus,15415,1,2,SIUNT,,,
1271,TRD2022082301475,Bunderan,61153,Bambu Apus,13890,1,2,SIUNT,,,
1272,TRD2022082301468,Bunderan,61153,Bambu Apus,13890,1,2,SIUNT,,,
1273,TRD2022082301378,Bunderan,61153,Bandar Lor,63118,2,3,SIUNT,,,
1274,TRD2022082301435,Bunderan,61153,Banggae,91411,7,9,SIUNT,,,
1275,TRD2022082301390,Bunderan,61153,Bangka,12730,1,2,SIUNT,,,
1276,TRD2022082301339,Bunderan,61153,Bangunharjo,55188,4,6,SIUNT,,,
1277,TRD2022082301257,Bunderan,61153,Banjar,21112,8,10,SIUNT,,,
1278,TRD2022082301286,Bunderan,61153,Bara-Baraya Timur,90143,2,3,SIUNT,,,
1279,TRD2022082301335,Bunderan,61153,Barurejo,68488,4,6,SIUNT,,,
1280,TRD2022082301422,Bunderan,61153,Barusari,50245,2,3,SIUNT,,,
1281,TRD2022082301495,Bunderan,61153,Basirih Selatan,70245,2,3,SIUNT,,,
1282,TRD2022082301382,Bunderan,61153,Batangkaluku,92117,5,7,SIUNT,,,
1283,TRD2022082301489,Bunderan,61153,Beber,83552,9,11,SIUNT,,,
1284,TRD2022082301445,Bunderan,61153,Beji,16431,1,2,SIUNT,,,
1285,TRD2022082301350,Bunderan,61153,Beji,16421,1,2,SIUNT,,,
1286,TRD2022082301386,Bunderan,61153,Bencah/Boncah Kesuma,28554,9,12,SIUNT,,,
1287,TRD2022082301369,Bunderan,61153,Bener,55243,1,2,SIUNT,,,
1288,TRD2022082301493,Bunderan,61153,Benoa,80361,4,6,SIUNT,,,
1289,TRD2022082301290,Bunderan,61153,Benoa,80361,4,6,SIUNT,,,
1290,TRD2022082301298,Bunderan,61153,Benoa,80361,4,6,SIUNT,,,
1291,TRD2022082301346,Bunderan,61153,Benoa,80361,4,6,SIUNT,,,
1292,TRD2022082301259,Bunderan,61153,Benoa,80361,4,6,SIUNT,,,
1293,TRD2022082301265,Bunderan,61153,Benoa,80361,4,6,SIUNT,,,
1294,TRD2022082301362,Bunderan,61153,Benteng,46217,4,5,SIUNT,,,
1295,TRD2022082301442,Bunderan,61153,Bentengnge,91221,5,7,SIUNT,,,
1296,TRD2022082301334,Bunderan,61153,Beo Sepang,86754,12,23,SIUNT,,,
1297,TRD2022082301347,Bunderan,61153,Beringin Raya,35158,2,3,SIUNT,,,
1298,TRD2022082301332,Bunderan,61153,Beriwit,73911,7,10,SIUNT,,,
1299,TRD2022082301272,Bunderan,61153,Berumbung Baru (Tilan),28671,9,12,SIUNT,,,
1300,TRD2022082301479,Bunderan,61153,Bilaporah,69161,4,6,SIUNT,,,
1301,TRD2022082301263,Bunderan,61153,Birobuli Utara,94231,3,4,SIUNT,,,
1302,TRD2022082301427,Bunderan,61153,Bogem,64181,3,4,SIUNT,,,
1303,TRD2022082301485,Bunderan,61153,Bolihutuo,96264,7,9,SIUNT,,,
1304,TRD2022082301494,Bunderan,61153,Botok,57292,4,6,SIUNT,,,
1305,TRD2022082301277,Bunderan,61153,Botok,57292,4,6,SIUNT,,,
1306,TRD2022082301466,Bunderan,61153,Bugis,77312,5,8,SIUNT,,,
1307,TRD2022082301364,Bunderan,61153,Bujur Timur,69354,4,6,SIUNT,,,
1308,TRD2022082301349,Bunderan,61153,Buladu,96136,2,4,SIUNT,,,
1309,TRD2022082301268,Bunderan,61153,Bulak,60124,1,2,SIUNT,,,
1310,TRD2022082301481,Bunderan,61153,Bulete,90992,5,7,SIUNT,,,
1311,TRD2022082301425,Bunderan,61153,Buloa,90212,2,3,SIUNT,,,
1312,TRD2022082301432,Bunderan,61153,Buluh Manis,28785,7,10,SIUNT,,,
1313,TRD2022082301413,Bunderan,61153,Bulusan,50277,2,3,SIUNT,,,
1314,TRD2022082301261,Bunderan,61153,Bunderan,61153,4,6,SIUNT,,,
1315,TRD2022082301407,Bunderan,61153,Butung,90173,2,3,SIUNT,,,
1316,TRD2022082301469,Bunderan,61153,Cempaka Putih,15411,1,2,SIUNT,,,
1317,TRD2022082301293,Bunderan,61153,Cempaka Putih,15411,1,2,SIUNT,,,
1318,TRD2022082301395,Bunderan,61153,Cengklong,15212,1,2,SIUNT,,,
1319,TRD2022082301412,Bunderan,61153,Cengkong,41373,2,3,SIUNT,,,
1320,TRD2022082301426,Bunderan,61153,Cengkong,41373,2,3,SIUNT,,,
1321,TRD2022082301249,Bunderan,61153,Cibogo,15344,1,2,SIUNT,,,
1322,TRD2022082301299,Bunderan,61153,Cibogo,15344,1,2,SIUNT,,,
1323,TRD2022082301281,Bunderan,61153,Cikini,10330,1,2,SIUNT,,,
1324,TRD2022082301285,Bunderan,61153,Cikole,43113,2,3,SIUNT,,,
1325,TRD2022082301372,Bunderan,61153,Cikondang,43142,2,3,SIUNT,,,
1326,TRD2022082301311,Bunderan,61153,Cilandak Barat,12430,1,2,SIUNT,,,
1327,TRD2022082301429,Bunderan,61153,Cilandak Barat,12430,1,2,SIUNT,,,
1328,TRD2022082301464,Bunderan,61153,Cilandak Barat,12430,1,2,SIUNT,,,
1329,TRD2022082301388,Bunderan,61153,Cilandak Barat,12430,1,2,SIUNT,,,
1330,TRD2022082301284,Bunderan,61153,Cilangkap,16458,1,2,SIUNT,,,
1331,TRD2022082301423,Bunderan,61153,Cimulang,16310,1,2,SIUNT,,,
1332,TRD2022082301399,Bunderan,61153,Cimulang,16310,1,2,SIUNT,,,
1333,TRD2022082301443,Bunderan,61153,Cinta Damai,20126,2,4,SIUNT,,,
1334,TRD2022082301410,Bunderan,61153,Ciomas Rahayu,16610,1,2,SIUNT,,,
1335,TRD2022082301424,Bunderan,61153,Cipinang,13240,1,2,SIUNT,,,
1336,TRD2022082301301,Bunderan,61153,Cipondoh,15148,1,2,SIUNT,,,
1337,TRD2022082301398,Bunderan,61153,Ciporang,45514,3,4,SIUNT,,,
1338,TRD2022082301434,Bunderan,61153,Citarum,40117,2,3,SIUNT,,,
1339,TRD2022082301310,Bunderan,61153,Cubadak (Pasa Cubadak),26311,9,12,SIUNT,,,
1340,TRD2022082301374,Bunderan,61153,Dadok Tunggul Hitam,25176,4,5,SIUNT,,,
1341,TRD2022082301344,Bunderan,61153,Delima,28291,2,4,SIUNT,,,
1342,TRD2022082301291,Bunderan,61153,Desky Jaya,24673,6,8,SIUNT,,,
1343,TRD2022082301247,Bunderan,61153,Dgandasuli (Gandasuli),97791,5,7,SIUNT,,,
1344,TRD2022082301402,Bunderan,61153,Dgandasuli (Gandasuli),97791,5,7,SIUNT,,,
1345,TRD2022082301297,Bunderan,61153,Diwek,61471,4,6,SIUNT,,,
1346,TRD2022082301447,Bunderan,61153,Donokerto,55551,1,2,SIUNT,,,
1347,TRD2022082301379,Bunderan,61153,Duda Timur,80862,6,9,SIUNT,,,
1348,TRD2022082301276,Bunderan,61153,Duren Sawit,13440,1,2,SIUNT,,,
1349,TRD2022082301437,Bunderan,61153,Gaharu,20235,2,4,SIUNT,,,
1350,TRD2022082301446,Bunderan,61153,Galur,10530,1,2,SIUNT,,,
1351,TRD2022082301411,Bunderan,61153,Gamalama,97721,3,5,SIUNT,,,
1352,TRD2022082301307,Bunderan,61153,Gamalama,97721,3,5,SIUNT,,,
1353,TRD2022082301391,Bunderan,61153,Gambor,68464,4,6,SIUNT,,,
1354,TRD2022082301474,Bunderan,61153,Gamsungi,97762,6,7,SIUNT,,,
1355,TRD2022082301327,Bunderan,61153,Gebang Rejo,94619,8,9,SIUNT,,,
1356,TRD2022082301483,Bunderan,61153,Gondosuli,57792,4,6,SIUNT,,,
1357,TRD2022082301448,Bunderan,61153,Guntung Paikat,70713,4,6,SIUNT,,,
1358,TRD2022082301319,Bunderan,61153,Guntur,12980,1,2,SIUNT,,,
1359,TRD2022082301309,Bunderan,61153,Guntur,12980,1,2,SIUNT,,,
1360,TRD2022082301356,Bunderan,61153,Gunungsimping,53211,2,3,SIUNT,,,
1361,TRD2022082301456,Bunderan,61153,Gunung Tiga,35675,5,7,SIUNT,,,
1362,TRD2022082301264,Bunderan,61153,Gunung Tinggi,20353,7,10,SIUNT,,,
1363,TRD2022082301484,Bunderan,61153,Hambala,87112,7,9,SIUNT,,,
1364,TRD2022082301371,Bunderan,61153,Handapherang,46271,5,7,SIUNT,,,
1365,TRD2022082301317,Bunderan,61153,Hangtuah,28462,9,12,SIUNT,,,
1366,TRD2022082301324,Bunderan,61153,Hegarmanah,41151,5,7,SIUNT,,,
1367,TRD2022082301416,Bunderan,61153,Hilikana,22881,13,16,SIUNT,,,
1368,TRD2022082301267,Bunderan,61153,Jaka Mulya,17146,1,2,SIUNT,,,
1369,TRD2022082301366,Bunderan,61153,Jaka Mulya,17146,1,2,SIUNT,,,
1370,TRD2022082301498,Bunderan,61153,Jelapat,73713,7,10,SIUNT,,,
1371,TRD2022082301338,Bunderan,61153,Joglo,11640,1,2,SIUNT,,,
1372,TRD2022082301253,Bunderan,61153,Jurang Mangu Barat,15223,1,2,SIUNT,,,
1373,TRD2022082301252,Bunderan,61153,Kadokan,57552,4,6,SIUNT,,,
1374,TRD2022082301459,Bunderan,61153,Kadokan,57552,4,6,SIUNT,,,
1375,TRD2022082301269,Bunderan,61153,Kagok,45468,4,6,SIUNT,,,
1376,TRD2022082301342,Bunderan,61153,Kalibaru,16414,1,2,SIUNT,,,
1377,TRD2022082301482,Bunderan,61153,Kalideres,11840,1,2,SIUNT,,,
1378,TRD2022082301383,Bunderan,61153,Kalosi,91754,5,7,SIUNT,,,
1379,TRD2022082301250,Bunderan,61153,Kampung Baru,35141,2,3,SIUNT,,,
1380,TRD2022082301288,Bunderan,61153,Kandangan,60199,1,2,SIUNT,,,
1381,TRD2022082301315,Bunderan,61153,Karanganyar,44192,5,7,SIUNT,,,
1382,TRD2022082301370,Bunderan,61153,Karangmalang,53353,4,6,SIUNT,,,
1383,TRD2022082301308,Bunderan,61153,Karangrejo,67382,4,6,SIUNT,,,
1384,TRD2022082301450,Bunderan,61153,Karang Tengah,15157,1,2,SIUNT,,,
1385,TRD2022082301279,Bunderan,61153,Karta Mulya/Mulia,74172,7,9,SIUNT,,,
1386,TRD2022082301282,Bunderan,61153,Kebasen,52194,4,6,SIUNT,,,
1387,TRD2022082301345,Bunderan,61153,Kebasen,52194,4,6,SIUNT,,,
1388,TRD2022082301454,Bunderan,61153,Kebotohan,67151,3,4,SIUNT,,,
1389,TRD2022082301381,Bunderan,61153,Kebun Teluk Panji,21464,7,10,SIUNT,,,
1390,TRD2022082301316,Bunderan,61153,Kedai Durian,20355,7,10,SIUNT,,,
1391,TRD2022082301497,Bunderan,61153,Kembang Kerang Daya,83653,11,13,SIUNT,,,
1392,TRD2022082301473,Bunderan,61153,Kendalrejo,66183,4,6,SIUNT,,,
1393,TRD2022082301275,Bunderan,61153,Kertasada,69471,4,6,SIUNT,,,
1394,TRD2022082301441,Bunderan,61153,Kota Baringin (Beringin),22521,6,8,SIUNT,,,
1395,TRD2022082301452,Bunderan,61153,Koto Taratak,25662,7,10,SIUNT,,,
1396,TRD2022082301409,Bunderan,61153,Kramat,15570,1,2,SIUNT,,,
1397,TRD2022082301322,Bunderan,61153,Krobokan,50141,2,3,SIUNT,,,
1398,TRD2022082301488,Bunderan,61153,Krukut,16514,1,2,SIUNT,,,
1399,TRD2022082301300,Bunderan,61153,Krukut,16514,1,2,SIUNT,,,
1400,TRD2022082301273,Bunderan,61153,Kulim,28286,2,4,SIUNT,,,
1401,TRD2022082301462,Bunderan,61153,Laboi Jaya,28463,7,10,SIUNT,,,
1402,TRD2022082301457,Bunderan,61153,Labuhan Deli,20254,2,4,SIUNT,,,
