No,shipment_order_no,awb_number,weight,origin_subdistrict,origin_postal_code,destination_subdistrict,destination_postal_code,rate_code
297,TRD2022122604636,0532932200016195,1,Kerobokan Kelod,80117,Tegal Harum,80361,CTC23
298,TRD2022122604650,0532932200016393,1,Kerobokan Kelod,80117,Panjer,80225,CTC23
299,TRD2022122604738,0434532200037453,1,A M P L A S,20148,Tanjung Rejo,20154,CTC23
300,TRD2022122604762,0434532200037651,1,A M P L A S,20148,Babura Sunggal,20121,CTC23
301,TRD2022122604833,4727892200027849,1,Rintis,28155,Delima,28291,CTC23
302,TRD2022122605019,0434532200038170,1,A M P L A S,20148,Kota Matsum II,20215,CTC23
303,TRD2022122605038,0434532200038352,1,A M P L A S,20148,Medan Tenggara,20228,CTC23
304,TRD2022122605235,4727892200028128,1,Rintis,28155,Delima,28291,CTC23
305,TRD2022122605264,4727892200028425,1,Rintis,28155,Delima,28291,CTC23
306,TRD2022122605319,4727892200028946,1,Rintis,28155,Delima,28291,CTC23
307,TRD2022122605809,0733272201246674,1,Pekayon Jaya,17148,Burangkeng,17155,CTC23
308,TRD2022122704321,0434532200039939,1,A M P L A S,20148,Anggrung,20152,CTC23
309,TRD2022122704324,0434532200039947,1,A M P L A S,20148,Babura,20112,CTC23
310,TRD2022122704454,0930842200028744,1,Sukodadi,30154,Kebun Bunga,30151,CTC23
311,TRD2022122704490,4727892200029282,1,Rintis,28155,Kulim,28286,CTC23
312,TRD2022122705272,0733272201253191,1,Pekayon Jaya,17148,Satriamekar,17510,CTC23
313,TRD2022122803507,0532932200017656,1,Kerobokan Kelod,80117,Panjer,80113,CTC23
314,TRD2022122803862,0434532200040978,1,A M P L A S,20148,Lau Bakeri,20354,CTC23
315,TRD2022122803946,0434532200041810,1,A M P L A S,20148,Bandar Selamat,20223,CTC23
316,TRD2022122803959,0930842200029064,1,Sukodadi,30154,Kebun Bunga,30151,CTC23
317,TRD2022122804297,2534902200985693,1,Bunigeulis,45556,Ciporang,45514,CTC23
318,TRD2022122804499,0532932200018555,1,Kerobokan Kelod,80117,Tegal Harum,80361,CTC23
319,TRD2022122904387,0532932200019140,1,Kerobokan Kelod,80117,Panjer,80225,CTC23
320,TRD2022122904400,0532932200019082,1,Kerobokan Kelod,80117,Tegal Harum,80361,CTC23
321,TRD2022122904496,0434532200042404,1,A M P L A S,20148,Bandar Selamat,20223,CTC23
322,TRD2022122904506,0434532200042388,1,A M P L A S,20148,Medan Tenggara,20228,CTC23
323,TRD2022122904670,0930842200030328,1,Sukodadi,30154,Kebun Bunga,30151,CTC23
324,TRD2022122904847,4727892200031866,1,Rintis,28155,Delima,28291,CTC23
325,TRD2022123004673,0434532200043618,1,A M P L A S,20148,Namu Gajah,20136,CTC23
326,TRD2022123004702,0434532200043899,1,A M P L A S,20148,Babura Sunggal,20121,CTC23
327,TRD2022123004780,0434532200044137,1,A M P L A S,20148,Cinta Damai (Dame),20371,CTC23
328,TRD2022123004821,0434532200044558,1,A M P L A S,20148,Namo Tualang,20358,CTC23
329,TRD2022123005131,0532932200020684,1,Kerobokan Kelod,80117,Pemecutan,80231,CTC23
330,TRD2022123005153,0532932200020957,1,Kerobokan Kelod,80117,Panjer,80225,CTC23
331,TRD2022123005244,0532932200021740,1,Kerobokan Kelod,80117,Tegal Harum,80361,CTC23
332,TRD2022123005253,0532932200021831,1,Kerobokan Kelod,80117,Panjer,80113,CTC23
333,TRD2022123105485,0434532200044947,1,A M P L A S,20148,Cinta Damai (Dame),20371,CTC23
334,TRD2022123105487,0434532200044970,1,A M P L A S,20148,Hamdan,20151,CTC23
335,TRD2022123105489,0434532200045001,1,A M P L A S,20148,Labuhan Deli,20254,CTC23
336,TRD2022123105568,0930842200032530,1,Sukodadi,30154,Kebun Bunga,30151,CTC23
337,TRD2022123105653,0434532200045902,1,A M P L A S,20148,Kedai Durian,20355,CTC23
338,TRD2023010207372,0532932300000107,1,Kerobokan Kelod,80117,Panjer,80225,CTC23
339,TRD2023010207507,0532932300001378,1,Kerobokan Kelod,80117,Panjer,80225,CTC23
340,TRD2023010207526,0532932300001592,1,Kerobokan Kelod,80117,Tegal Harum,80361,CTC23
341,TRD2023010207544,0532932300001832,1,Kerobokan Kelod,80117,Tegal Harum,80361,CTC23
342,TRD2023010207609,0434532300000179,1,A M P L A S,20148,Namu Gajah,20136,CTC23
343,TRD2023010207632,0434532300000476,1,A M P L A S,20148,Namu Gajah,20136,CTC23
344,TRD2023010207750,0434532300001250,1,A M P L A S,20148,Cinta Damai (Dame),20371,CTC23
345,TRD2023010207768,0434532300001375,1,A M P L A S,20148,Cinta Damai,20126,CTC23
346,TRD2023010207770,0434532300001391,1,A M P L A S,20148,Gunung Tinggi,20353,CTC23
347,TRD2023010207781,0434532300001573,1,A M P L A S,20148,Batu Rejo,20356,CTC23
348,TRD2023010207785,0434532300001532,1,A M P L A S,20148,Namu Gajah,20136,CTC23
349,TRD2023010207836,0434532300002050,1,A M P L A S,20148,Bandar Selamat,20223,CTC23
350,TRD2023010207852,0434532300002282,1,A M P L A S,20148,Kota Bangun,20243,CTC23
351,TRD2023010207869,0434532300002464,1,A M P L A S,20148,Bandar Selamat,20223,CTC23
352,TRD2023010207912,4727892300000258,1,Rintis,28155,Perhentianmarpoyan,28125,CTC23
353,TRD2023010207932,4727892300000514,1,Rintis,28155,Delima,28291,CTC23
354,TRD2023010208294,4727892300001371,1,Rintis,28155,Perhentianmarpoyan,28125,CTC23
355,TRD2023010210839,0733272300004875,1,Pekayon Jaya,17148,Setiamekar,17111,CTC23
356,TRD2023010305528,0532932300002871,1,Kerobokan Kelod,80117,Panjer,80225,CTC23
357,TRD2023010305796,0930842300003142,1,Sukodadi,30154,Kebun Bunga,30151,CTC23
358,TRD2023010306242,4727892300002668,1,Rintis,28155,Delima,28291,CTC23
359,TRD2023010306273,4727892300003054,1,Rintis,28155,Kulim,28286,CTC23
360,TRD2023010306308,4727892300003328,1,Rintis,28155,Perhentianmarpoyan,28125,CTC23
361,TRD2023010306323,4727892300003468,1,Rintis,28155,Perhentianmarpoyan,28125,CTC23
362,TRD2023010307746,0733272300014049,1,Pekayon Jaya,17148,Bintara,17134,CTC23
363,TRD2023010404541,0532932300003846,1,Kerobokan Kelod,80117,Tegal Harum,80361,CTC23
364,TRD2023010404563,0532932300004067,1,Kerobokan Kelod,80117,Panjer,80113,CTC23
365,TRD2023010404570,0532932300004133,1,Kerobokan Kelod,80117,Tegal Harum,80361,CTC23
366,TRD2023010404576,0532932300004190,1,Kerobokan Kelod,80117,Panjer,80225,CTC23
367,TRD2023010404827,4727892300004037,1,Rintis,28155,Perhentianmarpoyan,28125,CTC23
368,TRD2023010404856,4727892300004318,1,Rintis,28155,Kulim,28286,CTC23
369,TRD2023010405210,0434532300002688,1,A M P L A S,20148,Labuhan Deli,20254,CTC23
370,TRD2023010405215,0434532300002753,1,A M P L A S,20148,Kota Bangun,20243,CTC23
371,TRD2023010405219,0434532300002803,1,A M P L A S,20148,Namu Gajah,20136,CTC23
372,TRD2023010405228,0434532300002894,1,A M P L A S,20148,Namo Tualang,20358,CTC23
373,TRD2023010405260,0434532300003132,1,A M P L A S,20148,Babura,20112,CTC23
374,TRD2023010405294,0434532300003389,1,A M P L A S,20148,Anggrung,20152,CTC23
375,TRD2023010411483,0733272300019170,1,Pekayon Jaya,17148,Jatirahayu,17414,CTC23
376,TRD2023010504858,0532932300005825,1,Kerobokan Kelod,80117,Pemecutan,80231,CTC23
377,TRD2023010504916,4727892300005489,1,Rintis,28155,Delima,28291,CTC23
378,TRD2023010504939,0434532300004502,1,A M P L A S,20148,Bandar Selamat,20223,CTC23
379,TRD2023010505001,0434532300004601,1,A M P L A S,20148,Cinta Damai (Dame),20371,CTC23
380,TRD2023010505020,0434532300004825,1,A M P L A S,20148,Babura Sunggal,20121,CTC23
381,TRD2023010505023,0434532300005533,1,A M P L A S,20148,Gunung Tinggi,20353,CTC23
382,TRD2023010505058,0532932300006211,1,Kerobokan Kelod,80117,Tegal Harum,80361,CTC23
383,TRD2023010505070,0532932300006310,1,Kerobokan Kelod,80117,Tegal Harum,80361,CTC23
384,TRD2023010505277,4727892300006222,1,Rintis,28155,Lembah Damai,28263,CTC23
385,TRD2023010603809,0434532300005582,1,A M P L A S,20148,Gunung Tinggi,20353,CTC23
386,TRD2023010603829,0434532300005962,1,A M P L A S,20148,Gunung Tinggi,20353,CTC23
387,TRD2023010603832,0434532300005640,1,A M P L A S,20148,Marindal Dua,20361,CTC23
388,TRD2023010603835,0434532300005715,1,A M P L A S,20148,Namu Gajah,20136,CTC23
389,TRD2023010603839,0434532300005681,1,A M P L A S,20148,Namu Gajah,20136,CTC23
390,TRD2023010603917,0532932300006757,1,Kerobokan Kelod,80117,Tegal Harum,80361,CTC23
391,TRD2023010604065,0434532300006358,1,A M P L A S,20148,Lau Bakeri,20354,CTC23
392,TRD2023010604118,0434532300007265,1,A M P L A S,20148,Cinta Damai (Dame),20371,CTC23
393,TRD2023010604144,0434532300006986,1,A M P L A S,20148,Cinta Damai,20126,CTC23
394,TRD2023010604196,4727892300007642,1,Rintis,28155,Delima,28291,CTC23
395,TRD2023010604213,4727892300007816,1,Rintis,28155,Kulim,28286,CTC23
396,TRD2023010604285,4727892300006941,1,Rintis,28155,Delima,28291,CTC23
397,TRD2023010604292,4727892300007154,1,Rintis,28155,Kulim,28286,CTC23
398,TRD2023010705313,0434532300007463,1,A M P L A S,20148,Babura,20112,CTC23
399,TRD2023010705319,0434532300007547,1,A M P L A S,20148,Bandar Selamat,20223,CTC23
400,TRD2023010705422,0532932300008175,1,Kerobokan Kelod,80117,Tegal Harum,80361,CTC23
401,TRD2023010705471,0532932300008894,1,Kerobokan Kelod,80117,Tegal Harum,80361,CTC23
402,TRD2023010705516,0434532300007778,1,A M P L A S,20148,Labuhan Deli,20254,CTC23
403,TRD2023010705552,0434532300008172,1,A M P L A S,20148,Bandar Selamat,20223,CTC23
404,TRD2023010705571,0434532300008156,1,A M P L A S,20148,Babura Sunggal,20121,CTC23
405,TRD2023010705585,0434532300007877,1,A M P L A S,20148,Kota Bangun,20243,CTC23
406,TRD2023010705591,0434532300007885,1,A M P L A S,20148,Labuhan Deli,20254,CTC23
407,TRD2023010705616,0434532300008412,1,A M P L A S,20148,Sei Kerah Hilir II,20233,CTC23
408,TRD2023010705829,4727892300009002,1,Rintis,28155,Lembah Damai,28263,CTC23
409,TRD2023010705832,4727892300008871,1,Rintis,28155,Delima,28291,CTC23
410,TRD2023010906488,0532932300009033,1,Kerobokan Kelod,80117,Tegal Harum,80361,CTC23
411,TRD2023010906498,0532932300009132,1,Kerobokan Kelod,80117,Tegal Harum,80361,CTC23
412,TRD2023010906519,0532932300009272,1,Kerobokan Kelod,80117,Pemecutan,80231,CTC23
413,TRD2023010906525,0532932300009603,1,Kerobokan Kelod,80117,Panjer,80113,CTC23
414,TRD2023010906588,0532932300009439,1,Kerobokan Kelod,80117,Panjer,80225,CTC23
415,TRD2023010906785,0434532300009691,1,A M P L A S,20148,Lau Bakeri,20354,CTC23
416,TRD2023010906795,0434532300009675,1,A M P L A S,20148,Kota Bangun,20243,CTC23
417,TRD2023010906805,0434532300009824,1,A M P L A S,20148,Namu Gajah,20136,CTC23
418,TRD2023010906819,0434532300010194,1,A M P L A S,20148,Glugur Kota,20115,CTC23
419,TRD2023010906827,0434532300010343,1,A M P L A S,20148,Kota Matsum II,20215,CTC23
420,TRD2023010906832,0434532300009618,1,A M P L A S,20148,Cinta Damai (Dame),20371,CTC23
421,TRD2023010906875,0434532300010145,1,A M P L A S,20148,Merdeka,20131,CTC23
422,TRD2023010906956,0434532300011077,1,A M P L A S,20148,Medan Tenggara,20228,CTC23
423,TRD2023010907268,4727892300009911,1,Rintis,28155,Delima,28291,CTC23
424,TRD2023010907285,4727892300010158,1,Rintis,28155,Perhentianmarpoyan,28125,CTC23
425,TRD2023010907330,4727892300010422,1,Rintis,28155,Kulim,28286,CTC23
426,TRD2023010908275,0733272300039434,1,Pekayon Jaya,17148,Satriamekar,17510,CTC23
427,TRD2023010912548,0136932300017945,1,Tomang,11440,Ancol,14430,CTC23
428,TRD2023010912568,0136932300018539,1,Tomang,11440,Cakung Barat,13910,CTC23
429,TRD2023010912595,0136932300018430,1,Tomang,11440,Sumur Batu,10640,CTC23
430,TRD2023011003222,0434532300011366,1,A M P L A S,20148,Cinta Damai (Dame),20371,CTC23
431,TRD2023011003228,0434532300011499,1,A M P L A S,20148,Namu Gajah,20136,CTC23
432,TRD2023011003322,0532932300011443,1,Kerobokan Kelod,80117,Pemecutan,80231,CTC23
433,TRD2023011003334,0532932300011187,1,Kerobokan Kelod,80117,Tegal Harum,80361,CTC23
434,TRD2023011003392,0532932300011781,1,Kerobokan Kelod,80117,Panjer,80225,CTC23
435,TRD2023011003395,0532932300011567,1,Kerobokan Kelod,80117,Panjer,80225,CTC23
436,TRD2023011003396,0532932300011807,1,Kerobokan Kelod,80117,Panjer,80225,CTC23
437,TRD2023011003527,0434532300011515,1,A M P L A S,20148,Medan Tenggara,20228,CTC23
438,TRD2023011003537,0434532300011549,1,A M P L A S,20148,Kota Matsum II,20215,CTC23
439,TRD2023011003562,0434532300011820,1,A M P L A S,20148,Babura Sunggal,20121,CTC23
440,TRD2023011003581,0434532300012323,1,A M P L A S,20148,Namo Tualang,20358,CTC23
441,TRD2023011003602,0434532300012091,1,A M P L A S,20148,Labuhan Deli,20254,CTC23
442,TRD2023011003608,0434532300012299,1,A M P L A S,20148,Cinta Damai (Dame),20371,CTC23
443,TRD2023011003812,4727892300012360,1,Rintis,28155,Delima,28291,CTC23
444,TRD2023011104749,0532932300012433,1,Kerobokan Kelod,80117,Tegal Harum,80361,CTC23
445,TRD2023011104770,0532932300012797,1,Kerobokan Kelod,80117,Panjer,80225,CTC23
446,TRD2023011105041,0434532300012810,1,A M P L A S,20148,Marindal Dua,20361,CTC23
447,TRD2023011105070,0434532300013255,1,A M P L A S,20148,Gunung Tinggi,20353,CTC23
448,TRD2023011105077,0434532300013149,1,A M P L A S,20148,Namu Gajah,20136,CTC23
449,TRD2023011105080,0434532300013297,1,A M P L A S,20148,Medan Tenggara,20228,CTC23
450,TRD2023011105083,0434532300013180,1,A M P L A S,20148,Bandar Selamat,20223,CTC23
451,TRD2023011105086,0434532300013339,1,A M P L A S,20148,Babura Sunggal,20121,CTC23
452,TRD2023011105333,4727892300013103,1,Rintis,28155,Perhentianmarpoyan,28125,CTC23
453,TRD2023011105699,0733342300014867,1,Pekayon Jaya,17148,Setiamekar,17111,CTC23
454,TRD2023011203782,0532932300013431,1,Kerobokan Kelod,80117,Tegal Harum,80361,CTC23
455,TRD2023011203784,0532932300013738,1,Kerobokan Kelod,80117,Tegal Harum,80361,CTC23
456,TRD2023011203803,0532932300014108,1,Kerobokan Kelod,80117,Panjer,80113,CTC23
457,TRD2023011203918,0434532300014337,1,A M P L A S,20148,Cinta Damai,20126,CTC23
458,TRD2023011203925,0434532300014444,1,A M P L A S,20148,Cinta Damai,20126,CTC23
459,TRD2023011203974,0434532300014931,1,A M P L A S,20148,Babura,20112,CTC23
460,TRD2023011203985,0434532300014774,1,A M P L A S,20148,Gunung Tinggi,20353,CTC23
461,TRD2023011204039,0434532300015482,1,A M P L A S,20148,Glugur Kota,20115,CTC23
462,TRD2023011204066,4727892300014341,1,Rintis,28155,Delima,28291,CTC23
463,TRD2023011204208,4727892300014564,1,Rintis,28155,Perhentianmarpoyan,28125,CTC23
464,TRD2023011204287,4727892300015264,1,Rintis,28155,Delima,28291,CTC23
465,TRD2023011303409,0532932300014637,1,Kerobokan Kelod,80117,Panjer,80225,CTC23
466,TRD2023011303432,0532932300014835,1,Kerobokan Kelod,80117,Tegal Harum,80361,CTC23
467,TRD2023011303458,0532932300015220,1,Kerobokan Kelod,80117,Panjer,80225,CTC23
468,TRD2023011303540,0434532300016415,1,A M P L A S,20148,Medan Tenggara,20228,CTC23
469,TRD2023011303565,0434532300016498,1,A M P L A S,20148,Glugur Kota,20115,CTC23
470,TRD2023011303578,0434532300016746,1,A M P L A S,20148,Lau Bakeri,20354,CTC23
471,TRD2023011303587,0434532300016720,1,A M P L A S,20148,Babura Sunggal,20121,CTC23
472,TRD2023011304310,0532932300015451,1,Kerobokan Kelod,80117,Panjer,80225,CTC23
473,TRD2023011304388,4727892300015900,1,Rintis,28155,Delima,28291,CTC23
474,TRD2023011403912,0532932300016152,1,Kerobokan Kelod,80117,Tegal Harum,80361,CTC23
475,TRD2023011403919,0532932300016301,1,Kerobokan Kelod,80117,Pemecutan,80231,CTC23
476,TRD2023011403965,0434532300017298,1,A M P L A S,20148,Medan Tenggara,20228,CTC23
477,TRD2023011403979,0434532300017397,1,A M P L A S,20148,Tanjung Rejo,20154,CTC23
478,TRD2023011403986,0434532300017520,1,A M P L A S,20148,Lau Bakeri,20354,CTC23
479,TRD2023011403998,0434532300018213,1,A M P L A S,20148,Labuhan Deli,20254,CTC23
480,TRD2023011404001,0434532300017637,1,A M P L A S,20148,Babura Sunggal,20121,CTC23
481,TRD2023011404013,0434532300017686,1,A M P L A S,20148,Medan Tenggara,20228,CTC23
482,TRD2023011404025,0434532300018486,1,A M P L A S,20148,Kota Matsum II,20215,CTC23
483,TRD2023011404062,0434532300018114,1,A M P L A S,20148,Gunung Tinggi,20353,CTC23
484,TRD2023011404072,0434532300018460,1,A M P L A S,20148,Babura,20112,CTC23
485,TRD2023011605709,0434532300018866,1,A M P L A S,20148,Babura Sunggal,20121,CTC23
486,TRD2023011605761,0930842300016920,1,Sukodadi,30154,1 Ulu,30257,CTC23
487,TRD2023011605788,0532932300016673,1,Kerobokan Kelod,80117,Pemecutan,80231,CTC23
488,TRD2023011605812,0532932300016905,1,Kerobokan Kelod,80117,Panjer,80113,CTC23
489,TRD2023011605999,0434532300019153,1,A M P L A S,20148,Cinta Damai (Dame),20371,CTC23
490,TRD2023011606000,0434532300019237,1,A M P L A S,20148,Cinta Damai,20126,CTC23
491,TRD2023011606015,0434532300020193,1,A M P L A S,20148,Tanjung Rejo,20154,CTC23
492,TRD2023011606041,0434532300020144,1,A M P L A S,20148,Cinta Damai (Dame),20371,CTC23
493,TRD2023011606046,0434532300020276,1,A M P L A S,20148,Bandar Selamat,20223,CTC23
494,TRD2023011606100,0434532300019849,1,A M P L A S,20148,Tanjung Beringin,20357,CTC23
495,TRD2023011606118,0434532300020383,1,A M P L A S,20148,Cinta Damai,20126,CTC23
496,TRD2023011606120,0434532300020151,1,A M P L A S,20148,Kota Matsum II,20215,CTC23
497,TRD2023011703341,0434532300020730,1,A M P L A S,20148,Cinta Damai (Dame),20371,CTC23
498,TRD2023011703349,0434532300020771,1,A M P L A S,20148,Babura Sunggal,20121,CTC23
499,TRD2023011703370,0434532300020854,1,A M P L A S,20148,Cinta Damai (Dame),20371,CTC23
500,TRD2023011703381,0434532300020862,1,A M P L A S,20148,Babura Sunggal,20121,CTC23
501,TRD2023011703415,0434532300020896,1,A M P L A S,20148,Marindal Dua,20361,CTC23
502,TRD2023011703436,0434532300021555,1,A M P L A S,20148,Cinta Damai (Dame),20371,CTC23
503,TRD2023011703751,0532932300018653,1,Kerobokan Kelod,80117,Tegal Harum,80361,CTC23
504,TRD2023011703809,0532932300018927,1,Kerobokan Kelod,80117,Panjer,80225,CTC23
505,TRD2023011703829,0532932300018919,1,Kerobokan Kelod,80117,Tegal Harum,80361,CTC23
506,TRD2023011704229,0532932300019404,1,Kerobokan Kelod,80117,Tegal Harum,80361,CTC23
507,TRD2023011803598,4727892300017484,1,Rintis,28155,Perhentianmarpoyan,28125,CTC23
508,TRD2023011803644,0434532300021993,1,A M P L A S,20148,Cinta Damai (Dame),20371,CTC23
509,TRD2023011803671,0434532300022629,1,A M P L A S,20148,Merdeka,20131,CTC23
510,TRD2023011803680,0434532300022595,1,A M P L A S,20148,Batu Rejo,20356,CTC23
511,TRD2023011803739,0532932300019677,1,Kerobokan Kelod,80117,Pemecutan,80231,CTC23
512,TRD2023011803744,0532932300019602,1,Kerobokan Kelod,80117,Panjer,80225,CTC23
513,TRD2023011904013,0434532300023007,1,A M P L A S,20148,Cinta Damai (Dame),20371,CTC23
514,TRD2023011904219,0434532300023718,1,A M P L A S,20148,Kota Bangun,20243,CTC23
515,TRD2023011904230,0434532300023684,1,A M P L A S,20148,Namu Gajah,20136,CTC23
516,TRD2023012003209,0434532300023940,1,A M P L A S,20148,Bandar Selamat,20223,CTC23
517,TRD2023012003248,0434532300023999,1,A M P L A S,20148,Namu Gajah,20136,CTC23
518,TRD2023012003290,4727892300017765,1,Rintis,28155,Perhentianmarpoyan,28125,CTC23
519,TRD2023012003311,4727892300018060,1,Rintis,28155,Delima,28291,CTC23
520,TRD2023012003354,0532932300021665,1,Kerobokan Kelod,80117,Tegal Harum,80361,CTC23
521,TRD2023012003356,0532932300021657,1,Kerobokan Kelod,80117,Tegal Harum,80361,CTC23
522,TRD2023012003707,0434532300024468,1,A M P L A S,20148,Cinta Damai (Dame),20371,CTC23
523,TRD2023012003716,0434532300024609,1,A M P L A S,20148,Cinta Damai,20126,CTC23
524,TRD2023012103886,0434532300025127,1,A M P L A S,20148,Namu Gajah,20136,CTC23
525,TRD2023012103907,0434532300025077,1,A M P L A S,20148,Cinta Damai (Dame),20371,CTC23
526,TRD2023012103960,4727892300018433,1,Rintis,28155,Kulim,28286,CTC23
527,TRD2023012104131,0532932300023133,1,Kerobokan Kelod,80117,Panjer,80225,CTC23
528,TRD2023012104146,0532932300023158,1,Kerobokan Kelod,80117,Panjer,80225,CTC23
529,TRD2023012304359,0434532300025549,1,A M P L A S,20148,Gunung Tinggi,20353,CTC23
530,TRD2023012304374,0434532300025598,1,A M P L A S,20148,Babura Sunggal,20121,CTC23
531,TRD2023012304403,0434532300026570,1,A M P L A S,20148,Labuhan Deli,20254,CTC23
532,TRD2023012304415,0434532300025838,1,A M P L A S,20148,Gunung Tinggi,20353,CTC23
533,TRD2023012304424,0434532300026539,1,A M P L A S,20148,Cinta Damai,20126,CTC23
534,TRD2023012304434,0434532300026216,1,A M P L A S,20148,Gunung Tinggi,20353,CTC23
535,TRD2023012304442,0434532300026323,1,A M P L A S,20148,Namu Gajah,20136,CTC23
536,TRD2023012304448,0434532300026240,1,A M P L A S,20148,Cinta Damai (Dame),20371,CTC23
537,TRD2023012304456,0434532300026331,1,A M P L A S,20148,Namu Gajah,20136,CTC23
538,TRD2023012304467,0434532300026497,1,A M P L A S,20148,Namo Tualang,20358,CTC23
539,TRD2023012304766,0532932300023745,1,Kerobokan Kelod,80117,Tegal Harum,80361,CTC23
540,TRD2023012404492,0434532300027461,1,A M P L A S,20148,Labuhan Deli,20254,CTC23
541,TRD2023012405110,0532932300025112,1,Kerobokan Kelod,80117,Panjer,80113,CTC23
542,TRD2023012405495,0434532300027990,1,A M P L A S,20148,Kota Bangun,20243,CTC23
543,TRD2023012405520,0434532300028055,1,A M P L A S,20148,Gunung Tinggi,20353,CTC23
544,TRD2023012405532,0434532300028246,1,A M P L A S,20148,Medan Tenggara,20228,CTC23
545,TRD2023012405537,0434532300028253,1,A M P L A S,20148,Sei Kerah Hilir II,20233,CTC23
546,TRD2023012503805,0434532300028980,1,A M P L A S,20148,Lau Bakeri,20354,CTC23
547,TRD2023012503881,0930842300020781,1,Sukodadi,30154,Keramasan,30259,CTC23
548,TRD2023012503917,0434532300029194,1,A M P L A S,20148,Namu Gajah,20136,CTC23
549,TRD2023012503971,0532932300026219,1,Kerobokan Kelod,80117,Tegal Harum,80361,CTC23
550,TRD2023012504426,0532932300026441,1,Kerobokan Kelod,80117,Pemecutan,80231,CTC23
551,TRD2023012604101,0434532300029509,1,A M P L A S,20148,Cinta Damai (Dame),20371,CTC23
552,TRD2023012604105,0434532300029673,1,A M P L A S,20148,Glugur Kota,20115,CTC23
553,TRD2023012604106,0434532300029574,1,A M P L A S,20148,Kota Bangun,20243,CTC23
554,TRD2023012604308,0434532300030267,1,A M P L A S,20148,Babura,20112,CTC23
555,TRD2023012604339,0532932300026698,1,Kerobokan Kelod,80117,Panjer,80113,CTC23
556,TRD2023012604749,0532932300027274,1,Kerobokan Kelod,80117,Tegal Harum,80361,CTC23
557,TRD2023012703352,0434532300030606,1,A M P L A S,20148,Kedai Durian,20355,CTC23
558,TRD2023012703380,0434532300030713,1,A M P L A S,20148,Medan Tenggara,20228,CTC23
559,TRD2023012703392,0434532300031158,1,A M P L A S,20148,Kota Bangun,20243,CTC23
560,TRD2023012703423,0434532300030705,1,A M P L A S,20148,Glugur Kota,20115,CTC23
561,TRD2023012703550,0434532300031422,1,A M P L A S,20148,Cinta Damai (Dame),20371,CTC23
562,TRD2023012703556,0434532300031414,1,A M P L A S,20148,Namu Gajah,20136,CTC23
563,TRD2023012703733,0532932300027811,1,Kerobokan Kelod,80117,Panjer,80225,CTC23
564,TRD2023012703783,0532932300028256,1,Kerobokan Kelod,80117,Pemecutan,80231,CTC23
565,TRD2023012703792,0532932300027720,1,Kerobokan Kelod,80117,Panjer,80113,CTC23
566,TRD2023012703803,0532932300027886,1,Kerobokan Kelod,80117,Tegal Harum,80361,CTC23
567,TRD2023012703905,0532932300028389,1,Kerobokan Kelod,80117,Panjer,80225,CTC23
568,TRD2023012703912,0532932300028496,1,Kerobokan Kelod,80117,Tegal Harum,80361,CTC23
569,TRD2023012703918,0532932300028470,1,Kerobokan Kelod,80117,Tegal Harum,80361,CTC23
570,TRD2023012803059,0930842300022704,1,Sukodadi,30154,Kebun Bunga,30151,CTC23
571,TRD2023012803189,0434532300032057,1,A M P L A S,20148,Marindal Dua,20361,CTC23
572,TRD2023012803234,0434532300032354,1,A M P L A S,20148,Kota Bangun,20243,CTC23
573,TRD2023012803323,0930842300023256,1,Sukodadi,30154,Kebun Bunga,30151,CTC23
574,TRD2023012803408,4727892300023243,1,Rintis,28155,Delima,28291,CTC23
575,TRD2023012803490,0532932300029023,1,Kerobokan Kelod,80117,Panjer,80225,CTC23
576,TRD2023013006406,0434532300032701,1,A M P L A S,20148,Kota Matsum II,20215,CTC23
577,TRD2023013006409,0434532300032800,1,A M P L A S,20148,Kota Matsum II,20215,CTC23
578,TRD2023013006437,0434532300033048,1,A M P L A S,20148,Cinta Damai (Dame),20371,CTC23
579,TRD2023013006463,0434532300033352,1,A M P L A S,20148,Babura,20112,CTC23
580,TRD2023013006465,0434532300033493,1,A M P L A S,20148,Babura Sunggal,20121,CTC23
581,TRD2023013006479,0434532300033642,1,A M P L A S,20148,Namu Gajah,20136,CTC23
582,TRD2023013006518,0434532300033725,1,A M P L A S,20148,Anggrung,20152,CTC23
583,TRD2023013006538,0434532300033907,1,A M P L A S,20148,Kedai Durian,20355,CTC23
584,TRD2023013006734,0532932300029841,1,Kerobokan Kelod,80117,Tegal Harum,80361,CTC23
585,TRD2023013006736,0532932300029890,1,Kerobokan Kelod,80117,Panjer,80113,CTC23
586,TRD2023013006738,0532932300029817,1,Kerobokan Kelod,80117,Tegal Harum,80361,CTC23
587,TRD2023013006797,4727892300023920,1,Rintis,28155,Delima,28291,CTC23
588,TRD2023013006885,0532932300030310,1,Kerobokan Kelod,80117,Tegal Harum,80361,CTC23
589,TRD2023013007899,0733272300136297,1,Pekayon Jaya,17148,Satriamekar,17510,CTC23
590,TRD2023013103848,0434532300034087,1,A M P L A S,20148,Babura Sunggal,20121,CTC23
591,TRD2023013103893,0434532300034368,1,A M P L A S,20148,Cinta Damai,20126,CTC23
592,TRD2023013104155,0434532300034731,1,A M P L A S,20148,Babura Sunggal,20121,CTC23
593,TRD2023013104665,4727892300024811,1,Rintis,28155,Kulim,28286,CTC23
594,TRD2023013106150,0136932300078822,1,Grogol,11450,Cakung Barat,13910,CTC23
